Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
19756888,SA_0000001818,COUNTRY,BWA,YEAR,2020,,,,,,,,,10 [5.1-15],10,5.1,15,,2018-08-24T12:05:07Z,2020,2020-01-01,2020-12-31
19756889,SA_0000001818,COUNTRY,BDI,YEAR,2020,,,,,,,,,7 [2.3-11.7],7,2.3,11.7,,2018-08-24T12:05:07Z,2020,2020-01-01,2020-12-31
19756890,SA_0000001818,COUNTRY,GIN,YEAR,2020,,,,,,,,,1.1 [0.3-1.8],1.1,0.3,1.8,,2018-08-24T12:05:07Z,2020,2020-01-01,2020-12-31
19756891,SA_0000001818,COUNTRY,KEN,YEAR,2020,,,,,,,,,2.7 [2-3.5],2.7,2,3.5,,2018-08-24T12:05:07Z,2020,2020-01-01,2020-12-31
19756892,SA_0000001818,COUNTRY,STP,YEAR,2020,,,,,,,,,7.1 [4.1-10.1],7.1,4.1,10.1,,2018-08-24T12:05:07Z,2020,2020-01-01,2020-12-31
19756893,SA_0000001818,COUNTRY,SYC,YEAR,2020,,,,,,,,,11.2 [4.1-18.4],11.2,4.1,18.4,,2018-08-24T12:05:07Z,2020,2020-01-01,2020-12-31
19756894,SA_0000001818,COUNTRY,ZAF,YEAR,2020,,,,,,,,,9.2 [9.1-9.3],9.2,9.1,9.3,,2018-08-24T12:05:07Z,2020,2020-01-01,2020-12-31
19756895,SA_0000001818,COUNTRY,BOL,YEAR,2020,,,,,,,,,4.9 [3.6-6.3],4.9,3.6,6.3,,2018-08-24T12:05:07Z,2020,2020-01-01,2020-12-31
19756896,SA_0000001818,COUNTRY,CAN,YEAR,2020,,,,,,,,,9.1 [8.2-10],9.1,8.2,10,,2018-08-24T12:05:07Z,2020,2020-01-01,2020-12-31
19756897,SA_0000001818,COUNTRY,MEX,YEAR,2020,,,,,,,,,7 [6.1-7.9],7,6.1,7.9,,2018-08-24T12:05:07Z,2020,2020-01-01,2020-12-31
19756898,SA_0000001818,COUNTRY,PAN,YEAR,2020,,,,,,,,,8 [6.9-9.1],8,6.9,9.1,,2018-08-24T12:05:07Z,2020,2020-01-01,2020-12-31
19756899,SA_0000001818,COUNTRY,IRN,YEAR,2020,,,,,,,,,1 [-0.2-3.2],1,-0.2,3.2,,2018-08-24T12:05:08Z,2020,2020-01-01,2020-12-31
19756900,SA_0000001818,COUNTRY,JOR,YEAR,2020,,,,,,,,,0.8 [0.2-1.5],0.8,0.2,1.5,,2018-08-24T12:05:08Z,2020,2020-01-01,2020-12-31
19756901,SA_0000001818,COUNTRY,ALB,YEAR,2020,,,,,,,,,8.3 [5-11.6],8.3,5,11.6,,2018-08-24T12:05:08Z,2020,2020-01-01,2020-12-31
19756902,SA_0000001818,COUNTRY,ARM,YEAR,2020,,,,,,,,,5.7 [4-7.5],5.7,4,7.5,,2018-08-24T12:05:08Z,2020,2020-01-01,2020-12-31
19756903,SA_0000001818,COUNTRY,DEU,YEAR,2020,,,,,,,,,12.8 [11.6-14],12.8,11.6,14,,2018-08-24T12:05:08Z,2020,2020-01-01,2020-12-31
