Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
19754418,SA_0000001404,COUNTRY,MCO,YEAR,2016,SEX,FMLE,,,,,,,. [.-],,,,,2018-08-23T16:08:33Z,2016,2016-01-01,2016-12-31
19754419,SA_0000001404,COUNTRY,MCO,YEAR,2016,SEX,MLE,,,,,,,. [.-],,,,,2018-08-23T16:08:33Z,2016,2016-01-01,2016-12-31
19754420,SA_0000001404,COUNTRY,MDA,YEAR,2016,SEX,FMLE,,,,,,,12.7 [14-],13.4,12.7,14,,2018-08-23T16:08:33Z,2016,2016-01-01,2016-12-31
19754421,SA_0000001404,COUNTRY,MDA,YEAR,2016,SEX,MLE,,,,,,,36.4 [40-],38.2,36.4,40,,2018-08-23T16:08:33Z,2016,2016-01-01,2016-12-31
19754422,SA_0000001404,COUNTRY,DOM,YEAR,2016,SEX,MLE,,,,,,,19.2 [20.6-],19.9,19.2,20.6,,2018-08-23T16:08:34Z,2016,2016-01-01,2016-12-31
19754423,SA_0000001404,COUNTRY,ECU,YEAR,2016,SEX,BTSX,,,,,,,9.3 [10-],9.6,9.3,10,,2018-08-23T16:08:34Z,2016,2016-01-01,2016-12-31
19754424,SA_0000001404,COUNTRY,MDV,YEAR,2016,SEX,BTSX,,,,,,,26.9 [31.5-],29.2,26.9,31.5,,2018-08-23T16:08:34Z,2016,2016-01-01,2016-12-31
19754425,SA_0000001404,COUNTRY,MMR,YEAR,2016,SEX,BTSX,,,,,,,15.4 [17.8-],16.6,15.4,17.8,,2018-08-23T16:08:34Z,2016,2016-01-01,2016-12-31
19754426,SA_0000001404,COUNTRY,SVK,YEAR,2016,SEX,FMLE,,,,,,,7.7 [8.2-],8,7.7,8.2,,2018-08-23T16:08:34Z,2016,2016-01-01,2016-12-31
19754427,SA_0000001404,COUNTRY,SVN,YEAR,2016,SEX,FMLE,,,,,,,8.1 [8.7-],8.4,8.1,8.7,,2018-08-23T16:08:34Z,2016,2016-01-01,2016-12-31
