Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
22766694,SA_0000001411,COUNTRY,AFG,YEAR,2016,SEX,MLE,,,,,,,99.0,99,,,,2020-06-04T07:56:54Z,2016,2016-01-01,2016-12-31
22766695,SA_0000001411,COUNTRY,AFG,YEAR,2016,SEX,BTSX,,,,,,,99.3,99.3,,,,2020-06-04T07:56:55Z,2016,2016-01-01,2016-12-31
22766696,SA_0000001411,COUNTRY,AFG,YEAR,2016,SEX,FMLE,,,,,,,99.7,99.7,,,,2020-06-04T07:56:55Z,2016,2016-01-01,2016-12-31
22766697,SA_0000001411,COUNTRY,AGO,YEAR,2016,SEX,MLE,,,,,,,38.4,38.4,,,,2020-06-04T07:56:55Z,2016,2016-01-01,2016-12-31
22766698,SA_0000001411,COUNTRY,AGO,YEAR,2016,SEX,BTSX,,,,,,,52.3,52.3,,,,2020-06-04T07:56:55Z,2016,2016-01-01,2016-12-31
22766699,SA_0000001411,COUNTRY,AGO,YEAR,2016,SEX,FMLE,,,,,,,65.7,65.7,,,,2020-06-04T07:56:55Z,2016,2016-01-01,2016-12-31
22766700,SA_0000001411,COUNTRY,ALB,YEAR,2016,SEX,MLE,,,,,,,35.0,35,,,,2020-06-04T07:56:55Z,2016,2016-01-01,2016-12-31
22766701,SA_0000001411,COUNTRY,ALB,YEAR,2016,SEX,BTSX,,,,,,,49.0,49,,,,2020-06-04T07:56:55Z,2016,2016-01-01,2016-12-31
22766702,SA_0000001411,COUNTRY,ALB,YEAR,2016,SEX,FMLE,,,,,,,62.4,62.4,,,,2020-06-04T07:56:55Z,2016,2016-01-01,2016-12-31
22766703,SA_0000001411,COUNTRY,AND,YEAR,2016,SEX,MLE,,,,,,,14.8,14.8,,,,2020-06-04T07:56:55Z,2016,2016-01-01,2016-12-31
22766704,SA_0000001411,COUNTRY,AND,YEAR,2016,SEX,BTSX,,,,,,,25.4,25.4,,,,2020-06-04T07:56:55Z,2016,2016-01-01,2016-12-31
