State,No. of Drinks (Median)§,No. of Drinks (75th Percentile)†
Alabama,5.2,7.6
Alaska,5.5,7.8
Arizona,5.6,9.1
Arkansas,5.9,9.5
California,5.3,7.8
Colorado,5.4,7.5
Connecticut,4.9,6.5
Delaware,5.2,6.8
District of Columbia,5.0,6.9
Florida,5.5,7.7
Georgia,5.5,7.7
Hawaii,5.7,9.1
Idaho,5.7,8.9
Illinois,5.6,7.9
Indiana,5.7,8
Iowa,5.9,9.4
Kansas,5.7,8.9
Kentucky,5.8,9.2
Louisiana,5.6,7.9
Maine,5.2,7.3
Maryland,5.3,7.2
Massachusetts,4.9,7
Michigan,5.6,7.7
Minnesota,5.7,8.2
Mississippi,5.7,9.7
Missouri,5.6,9.1
Montana,5.7,8.5
Nebraska,5.7,7.9
Nevada,5.1,7.5
New Hampshire,5.4,7.2
New Jersey,4.9,7
New Mexico,5.4,7.5
New York,5.3,7.4
North Carolina,5.4,8.2
North Dakota,6.0,9.3
Ohio,5.7,9.1
Oklahoma,5.6,8.6
Oregon,5.2,7.2
Pennsylvania,5.2,7.4
Rhode Island,5.2,7.4
South Carolina,5.5,8
South Dakota,5.9,9.2
Tennessee,5.8,8
Texas,5.7,9.2
Utah,5.6,9
Vermont,5.5,7.6
Virginia,5.6,7.9
Washington,5.2,7.2
West Virginia,6.1,9.7
Wisconsin,5.8,8.9
Wyoming,5.8,9
,,
,,
,,
,,
