Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
20079644,SA_0000001784,COUNTRY,AUT,YEAR,2010,SEX,MLE,,,,,DATASOURCE,SA_0000001784_AUT,37,37,,,,2018-10-25T09:00:52Z,2010,2010-01-01,2010-12-31
20079645,SA_0000001784,COUNTRY,FIN,YEAR,2010,SEX,MLE,,,,,DATASOURCE,SA_0000001784_FIN,7,7,,,,2018-10-25T09:00:52Z,2010,2010-01-01,2010-12-31
20079646,SA_0000001784,COUNTRY,DEU,YEAR,2010,SEX,FMLE,,,,,DATASOURCE,SA_0000001784_DEU,15,15,,,,2018-10-25T09:00:52Z,2010,2010-01-01,2010-12-31
20079647,SA_0000001784,COUNTRY,NOR,YEAR,2010,SEX,FMLE,,,,,DATASOURCE,SA_0000001784_NOR,9,9,,,,2018-10-25T09:00:52Z,2010,2010-01-01,2010-12-31
20079648,SA_0000001784,COUNTRY,POL,YEAR,2010,SEX,FMLE,,,,,DATASOURCE,SA_0000001784_POL,11,11,,,,2018-10-25T09:00:52Z,2010,2010-01-01,2010-12-31
20079649,SA_0000001784,COUNTRY,ESP,YEAR,2010,SEX,MLE,,,,,DATASOURCE,SA_0000001784_ESP,23,23,,,,2018-10-25T09:00:52Z,2010,2010-01-01,2010-12-31
20079650,SA_0000001784,COUNTRY,CHE,YEAR,2010,SEX,FMLE,,,,,DATASOURCE,SA_0000001784_CHE,13,13,,,,2018-10-25T09:00:52Z,2010,2010-01-01,2010-12-31
20079651,SA_0000001784,COUNTRY,BEL,YEAR,2005,SEX,MLE,,,,,DATASOURCE,SA_0000001784_BEL,39,39,,,,2018-10-25T09:00:52Z,2005,2005-01-01,2005-12-31
20079652,SA_0000001784,COUNTRY,CZE,YEAR,2005,SEX,FMLE,,,,,DATASOURCE,SA_0000001784_CZE,27,27,,,,2018-10-25T09:00:52Z,2005,2005-01-01,2005-12-31
20079653,SA_0000001784,COUNTRY,DEU,YEAR,2005,SEX,MLE,,,,,DATASOURCE,SA_0000001784_DEU,25,25,,,,2018-10-25T09:00:53Z,2005,2005-01-01,2005-12-31
20079654,SA_0000001784,COUNTRY,ISL,YEAR,2005,SEX,FMLE,,,,,DATASOURCE,SA_0000001784_ISL,11,11,,,,2018-10-25T09:00:53Z,2005,2005-01-01,2005-12-31
20079655,SA_0000001784,COUNTRY,LVA,YEAR,2005,SEX,MLE,,,,,DATASOURCE,SA_0000001784_LVA,31,31,,,,2018-10-25T09:00:53Z,2005,2005-01-01,2005-12-31
20079656,SA_0000001784,COUNTRY,LUX,YEAR,2005,SEX,MLE,,,,,DATASOURCE,SA_0000001784_LUX,30,30,,,,2018-10-25T09:00:53Z,2005,2005-01-01,2005-12-31
20079657,SA_0000001784,COUNTRY,POL,YEAR,2005,SEX,FMLE,,,,,DATASOURCE,SA_0000001784_POL,7,7,,,,2018-10-25T09:00:53Z,2005,2005-01-01,2005-12-31
20079658,SA_0000001784,COUNTRY,RUS,YEAR,2005,SEX,MLE,,,,,DATASOURCE,SA_0000001784_RUS,27,27,,,,2018-10-25T09:00:53Z,2005,2005-01-01,2005-12-31
20079659,SA_0000001784,COUNTRY,SWE,YEAR,2005,SEX,FMLE,,,,,DATASOURCE,SA_0000001784_SWE,9,9,,,,2018-10-25T09:00:53Z,2005,2005-01-01,2005-12-31
20079660,SA_0000001784,COUNTRY,MKD,YEAR,2005,SEX,FMLE,,,,,DATASOURCE,SA_0000001784_MKD,15,15,,,,2018-10-25T09:00:53Z,2005,2005-01-01,2005-12-31
20079661,SA_0000001784,COUNTRY,USA,YEAR,2005,SEX,MLE,,,,,DATASOURCE,SA_0000001784_USA,14,14,,,,2018-10-25T09:00:53Z,2005,2005-01-01,2005-12-31
20079662,SA_0000001784,COUNTRY,ARM,YEAR,2014,SEX,MLE,,,,,DATASOURCE,SA_0000001784_ARM,18,18,,,,2018-10-25T09:00:53Z,2014,2014-01-01,2014-12-31
20079663,SA_0000001784,COUNTRY,BGR,YEAR,2014,SEX,FMLE,,,,,DATASOURCE,SA_0000001784_BGR,17,17,,,,2018-10-25T09:00:53Z,2014,2014-01-01,2014-12-31
20079664,SA_0000001784,COUNTRY,HRV,YEAR,2006,SEX,MLE,,,,,DATASOURCE,SA_0000001784_HRV,44,44,,,,2018-10-25T09:00:53Z,2006,2006-01-01,2006-12-31
20079665,SA_0000001784,COUNTRY,DNK,YEAR,2006,SEX,FMLE,,,,,DATASOURCE,SA_0000001784_DNK,26,26,,,,2018-10-25T09:00:53Z,2006,2006-01-01,2006-12-31
20079666,SA_0000001784,COUNTRY,FIN,YEAR,2014,SEX,MLE,,,,,DATASOURCE,SA_0000001784_FIN,8,8,,,,2018-10-25T09:00:53Z,2014,2014-01-01,2014-12-31
20079667,SA_0000001784,COUNTRY,DEU,YEAR,2014,SEX,FMLE,,,,,DATASOURCE,SA_0000001784_DEU,8,8,,,,2018-10-25T09:00:53Z,2014,2014-01-01,2014-12-31
20079668,SA_0000001784,COUNTRY,IRL,YEAR,2006,SEX,FMLE,,,,,DATASOURCE,SA_0000001784_IRL,19,19,,,,2018-10-25T09:00:53Z,2006,2006-01-01,2006-12-31
20079669,SA_0000001784,COUNTRY,ISR,YEAR,2014,SEX,MLE,,,,,DATASOURCE,SA_0000001784_ISR,29,29,,,,2018-10-25T09:00:53Z,2014,2014-01-01,2014-12-31
20079670,SA_0000001784,COUNTRY,LVA,YEAR,2014,SEX,FMLE,,,,,DATASOURCE,SA_0000001784_LVA,4,4,,,,2018-10-25T09:00:53Z,2014,2014-01-01,2014-12-31
20079671,SA_0000001784,COUNTRY,MLT,YEAR,2006,SEX,MLE,,,,,DATASOURCE,SA_0000001784_MLT,51,51,,,,2018-10-25T09:00:53Z,2006,2006-01-01,2006-12-31
20079672,SA_0000001784,COUNTRY,NOR,YEAR,2006,SEX,FMLE,,,,,DATASOURCE,SA_0000001784_NOR,10,10,,,,2018-10-25T09:00:53Z,2006,2006-01-01,2006-12-31
20079673,SA_0000001784,COUNTRY,POL,YEAR,2014,SEX,MLE,,,,,DATASOURCE,SA_0000001784_POL,13,13,,,,2018-10-25T09:00:53Z,2014,2014-01-01,2014-12-31
20079674,SA_0000001784,COUNTRY,RUS,YEAR,2006,SEX,FMLE,,,,,DATASOURCE,SA_0000001784_RUS,21,21,,,,2018-10-25T09:00:53Z,2006,2006-01-01,2006-12-31
20079675,SA_0000001784,COUNTRY,SVK,YEAR,2014,SEX,MLE,,,,,DATASOURCE,SA_0000001784_SVK,19,19,,,,2018-10-25T09:00:53Z,2014,2014-01-01,2014-12-31
20079676,SA_0000001784,COUNTRY,ESP,YEAR,2014,SEX,FMLE,,,,,DATASOURCE,SA_0000001784_ESP,8,8,,,,2018-10-25T09:00:53Z,2014,2014-01-01,2014-12-31
