Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
19844828,SA_0000001807,COUNTRY,MNG,YEAR,2016,SEX,MLE,,,,,,,370.8,,,,,2018-09-06T10:05:12Z,2016,2016-01-01,2016-12-31
19844829,SA_0000001807,COUNTRY,NZL,YEAR,2016,SEX,MLE,,,,,,,173.8,,,,,2018-09-06T10:05:12Z,2016,2016-01-01,2016-12-31
19844830,SA_0000001807,COUNTRY,BRN,YEAR,2016,SEX,FMLE,,,,,,,167.7,,,,,2018-09-06T10:05:12Z,2016,2016-01-01,2016-12-31
19844831,SA_0000001807,COUNTRY,CHN,YEAR,2016,SEX,FMLE,,,,,,,118.8,,,,,2018-09-06T10:05:12Z,2016,2016-01-01,2016-12-31
19844832,SA_0000001807,COUNTRY,PHL,YEAR,2016,SEX,FMLE,,,,,,,116.4,,,,,2018-09-06T10:05:12Z,2016,2016-01-01,2016-12-31
19844833,SA_0000001807,COUNTRY,WSM,YEAR,2016,SEX,FMLE,,,,,,,120.1,,,,,2018-09-06T10:05:12Z,2016,2016-01-01,2016-12-31
19844883,SA_0000001807,COUNTRY,CHN,YEAR,2016,SEX,MLE,,,,,,,247.6,,,,,2018-09-06T10:05:13Z,2016,2016-01-01,2016-12-31
19844884,SA_0000001807,COUNTRY,COK,YEAR,2016,SEX,MLE,,,,,,,No data,,,,,2018-09-06T10:05:13Z,2016,2016-01-01,2016-12-31
19844885,SA_0000001807,COUNTRY,SGP,YEAR,2016,SEX,MLE,,,,,,,164.5,,,,,2018-09-06T10:05:13Z,2016,2016-01-01,2016-12-31
19844886,SA_0000001807,COUNTRY,SLB,YEAR,2016,SEX,MLE,,,,,,,140.8,,,,,2018-09-06T10:05:13Z,2016,2016-01-01,2016-12-31
